iter	Passed	Remaining
0	16	3199
1	31	3088
2	47	3117
3	63	3133
4	81	3161
5	98	3179
6	115	3175
7	131	3166
8	147	3130
9	163	3115
10	180	3106
11	196	3083
12	213	3076
13	230	3056
14	245	3024
15	260	3001
16	278	3002
17	300	3038
18	315	3008
19	331	2979
20	346	2953
21	362	2930
22	378	2909
23	393	2887
24	408	2860
25	425	2845
26	441	2826
27	457	2808
28	473	2793
29	488	2770
30	504	2750
31	520	2732
32	537	2720
33	553	2702
34	570	2691
35	586	2672
36	602	2655
37	617	2633
38	633	2614
39	648	2594
40	665	2580
41	683	2572
42	699	2554
43	715	2536
44	733	2524
45	751	2515
46	767	2497
47	783	2482
48	800	2467
49	816	2449
50	832	2431
51	847	2413
52	862	2391
53	875	2367
54	890	2347
55	903	2324
56	917	2300
57	931	2279
58	944	2256
59	959	2238
60	973	2218
61	987	2198
62	1000	2175
63	1013	2154
64	1026	2132
65	1040	2112
66	1053	2091
67	1066	2070
68	1080	2051
69	1095	2033
70	1108	2014
71	1121	1994
72	1137	1979
73	1153	1964
74	1169	1949
75	1185	1934
76	1203	1921
77	1216	1902
78	1229	1882
79	1242	1863
80	1255	1844
81	1270	1827
82	1283	1808
83	1296	1790
84	1310	1772
85	1323	1753
86	1337	1736
87	1351	1720
88	1365	1702
89	1378	1685
90	1391	1667
91	1405	1650
92	1419	1632
93	1433	1616
94	1448	1601
95	1461	1583
96	1474	1565
97	1487	1548
98	1500	1531
99	1514	1514
100	1528	1497
101	1541	1481
102	1555	1464
103	1568	1447
104	1581	1431
105	1597	1416
106	1614	1403
107	1630	1388
108	1647	1375
109	1662	1360
110	1675	1343
111	1688	1326
112	1700	1309
113	1713	1292
114	1726	1276
115	1740	1260
116	1753	1243
117	1768	1228
118	1783	1214
119	1798	1198
120	1811	1182
121	1824	1166
122	1838	1150
123	1850	1134
124	1863	1117
125	1876	1102
126	1889	1086
127	1901	1069
128	1914	1053
129	1927	1037
130	1941	1022
131	1955	1007
132	1970	992
133	1982	976
134	1995	960
135	2008	945
136	2020	929
137	2037	915
138	2052	900
139	2067	886
140	2083	871
141	2096	856
142	2110	841
143	2122	825
144	2136	810
145	2148	794
146	2162	779
147	2174	764
148	2187	748
149	2198	732
150	2210	717
151	2222	701
152	2235	686
153	2248	671
154	2259	656
155	2271	640
156	2285	625
157	2298	610
158	2310	595
159	2323	580
160	2336	565
161	2348	550
162	2362	536
163	2375	521
164	2387	506
165	2399	491
166	2411	476
167	2423	461
168	2436	446
169	2450	432
170	2464	417
171	2479	403
172	2492	389
173	2507	374
174	2521	360
175	2536	345
176	2549	331
177	2562	316
178	2576	302
179	2589	287
180	2601	273
181	2614	258
182	2628	244
183	2642	229
184	2656	215
185	2670	200
186	2683	186
187	2696	172
188	2708	157
189	2722	143
190	2735	128
191	2753	114
192	2769	100
193	2788	86
194	2805	71
195	2823	57
196	2840	43
197	2855	28
198	2872	14
199	2888	0
